region,date,value
Simcoe Muskoka District Health Unit,2020-03-19,0
Simcoe Muskoka District Health Unit,2020-03-20,0
Simcoe Muskoka District Health Unit,2020-03-21,4
Simcoe Muskoka District Health Unit,2020-03-22,0
Simcoe Muskoka District Health Unit,2020-03-23,1
Simcoe Muskoka District Health Unit,2020-03-24,1
Simcoe Muskoka District Health Unit,2020-03-25,5
Simcoe Muskoka District Health Unit,2020-03-26,10
Simcoe Muskoka District Health Unit,2020-03-27,7
Simcoe Muskoka District Health Unit,2020-03-28,0
Simcoe Muskoka District Health Unit,2020-03-29,0
Simcoe Muskoka District Health Unit,2020-03-30,11
Simcoe Muskoka District Health Unit,2020-03-31,0
Simcoe Muskoka District Health Unit,2020-04-01,13
Simcoe Muskoka District Health Unit,2020-04-02,9
Simcoe Muskoka District Health Unit,2020-04-03,5
Simcoe Muskoka District Health Unit,2020-04-04,0
Simcoe Muskoka District Health Unit,2020-04-05,0
Simcoe Muskoka District Health Unit,2020-04-06,16
Simcoe Muskoka District Health Unit,2020-04-07,10
Simcoe Muskoka District Health Unit,2020-04-08,9
Simcoe Muskoka District Health Unit,2020-04-09,6
Simcoe Muskoka District Health Unit,2020-04-10,0
Simcoe Muskoka District Health Unit,2020-04-11,28
Simcoe Muskoka District Health Unit,2020-04-12,0
Simcoe Muskoka District Health Unit,2020-04-13,10
Simcoe Muskoka District Health Unit,2020-04-14,8
Simcoe Muskoka District Health Unit,2020-04-15,6
Simcoe Muskoka District Health Unit,2020-04-16,9
Simcoe Muskoka District Health Unit,2020-04-17,11
Simcoe Muskoka District Health Unit,2020-04-18,0
Simcoe Muskoka District Health Unit,2020-04-19,0
Simcoe Muskoka District Health Unit,2020-04-20,17
Simcoe Muskoka District Health Unit,2020-04-21,14
Simcoe Muskoka District Health Unit,2020-04-22,3
Simcoe Muskoka District Health Unit,2020-04-23,14
Simcoe Muskoka District Health Unit,2020-04-24,3
Simcoe Muskoka District Health Unit,2020-04-25,0
Simcoe Muskoka District Health Unit,2020-04-26,0
Simcoe Muskoka District Health Unit,2020-04-27,23
Simcoe Muskoka District Health Unit,2020-04-28,2
Simcoe Muskoka District Health Unit,2020-04-29,5
Simcoe Muskoka District Health Unit,2020-04-30,12
Simcoe Muskoka District Health Unit,2020-05-01,6
Simcoe Muskoka District Health Unit,2020-05-02,0
Simcoe Muskoka District Health Unit,2020-05-03,0
Chatham-Kent Health Unit,2020-02-29,0
Chatham-Kent Health Unit,2020-03-01,0
Chatham-Kent Health Unit,2020-03-02,0
Chatham-Kent Health Unit,2020-03-03,0
Chatham-Kent Health Unit,2020-03-04,0
Chatham-Kent Health Unit,2020-03-05,0
Chatham-Kent Health Unit,2020-03-06,0
Chatham-Kent Health Unit,2020-03-07,0
Chatham-Kent Health Unit,2020-03-08,0
Chatham-Kent Health Unit,2020-03-09,0
Chatham-Kent Health Unit,2020-03-10,0
Chatham-Kent Health Unit,2020-03-11,0
Chatham-Kent Health Unit,2020-03-12,0
Chatham-Kent Health Unit,2020-03-13,0
Chatham-Kent Health Unit,2020-03-14,0
Chatham-Kent Health Unit,2020-03-15,0
Chatham-Kent Health Unit,2020-03-16,0
Chatham-Kent Health Unit,2020-03-17,0
Chatham-Kent Health Unit,2020-03-18,2
Chatham-Kent Health Unit,2020-03-19,0
Chatham-Kent Health Unit,2020-03-20,0
Chatham-Kent Health Unit,2020-03-21,0
Chatham-Kent Health Unit,2020-03-22,0
Chatham-Kent Health Unit,2020-03-23,0
Chatham-Kent Health Unit,2020-03-24,0
Chatham-Kent Health Unit,2020-03-25,0
Chatham-Kent Health Unit,2020-03-26,0
Chatham-Kent Health Unit,2020-03-27,2
Chatham-Kent Health Unit,2020-03-28,2
Chatham-Kent Health Unit,2020-03-29,0
Chatham-Kent Health Unit,2020-03-30,0
Chatham-Kent Health Unit,2020-03-31,0
Chatham-Kent Health Unit,2020-04-01,2
Chatham-Kent Health Unit,2020-04-02,1
Chatham-Kent Health Unit,2020-04-03,2
Chatham-Kent Health Unit,2020-04-04,1
Chatham-Kent Health Unit,2020-04-05,0
Chatham-Kent Health Unit,2020-04-06,4
Chatham-Kent Health Unit,2020-04-07,1
Chatham-Kent Health Unit,2020-04-08,0
Chatham-Kent Health Unit,2020-04-09,1
Chatham-Kent Health Unit,2020-04-10,0
Chatham-Kent Health Unit,2020-04-11,1
Chatham-Kent Health Unit,2020-04-12,6
Chatham-Kent Health Unit,2020-04-13,0
Chatham-Kent Health Unit,2020-04-14,0
Chatham-Kent Health Unit,2020-04-15,0
Chatham-Kent Health Unit,2020-04-16,0
Chatham-Kent Health Unit,2020-04-17,4
Chatham-Kent Health Unit,2020-04-18,0
Chatham-Kent Health Unit,2020-04-19,0
Chatham-Kent Health Unit,2020-04-20,2
Chatham-Kent Health Unit,2020-04-21,0
Chatham-Kent Health Unit,2020-04-22,6
Chatham-Kent Health Unit,2020-04-23,3
Chatham-Kent Health Unit,2020-04-24,0
Chatham-Kent Health Unit,2020-04-25,2
Chatham-Kent Health Unit,2020-04-26,4
Chatham-Kent Health Unit,2020-04-27,29
Chatham-Kent Health Unit,2020-04-28,3
Chatham-Kent Health Unit,2020-04-29,4
Chatham-Kent Health Unit,2020-04-30,1
Chatham-Kent Health Unit,2020-05-01,2
Chatham-Kent Health Unit,2020-05-02,3
Chatham-Kent Health Unit,2020-05-03,0
City of Toronto Health Unit,2020-02-29,0
City of Toronto Health Unit,2020-03-01,1
City of Toronto Health Unit,2020-03-02,0
City of Toronto Health Unit,2020-03-03,3
City of Toronto Health Unit,2020-03-04,0
City of Toronto Health Unit,2020-03-05,1
City of Toronto Health Unit,2020-03-06,3
City of Toronto Health Unit,2020-03-07,0
City of Toronto Health Unit,2020-03-08,3
City of Toronto Health Unit,2020-03-09,2
City of Toronto Health Unit,2020-03-10,1
City of Toronto Health Unit,2020-03-11,2
City of Toronto Health Unit,2020-03-12,8
City of Toronto Health Unit,2020-03-13,12
City of Toronto Health Unit,2020-03-14,9
City of Toronto Health Unit,2020-03-15,14
City of Toronto Health Unit,2020-03-16,11
City of Toronto Health Unit,2020-03-17,0
City of Toronto Health Unit,2020-03-18,3
City of Toronto Health Unit,2020-03-19,16
City of Toronto Health Unit,2020-03-20,17
City of Toronto Health Unit,2020-03-21,33
City of Toronto Health Unit,2020-03-22,26
City of Toronto Health Unit,2020-03-23,15
City of Toronto Health Unit,2020-03-24,19
City of Toronto Health Unit,2020-03-25,25
City of Toronto Health Unit,2020-03-26,33
City of Toronto Health Unit,2020-03-27,55
City of Toronto Health Unit,2020-03-28,71
City of Toronto Health Unit,2020-03-29,80
City of Toronto Health Unit,2020-03-30,71
City of Toronto Health Unit,2020-03-31,112
City of Toronto Health Unit,2020-04-01,165
City of Toronto Health Unit,2020-04-02,79
City of Toronto Health Unit,2020-04-03,89
City of Toronto Health Unit,2020-04-04,40
City of Toronto Health Unit,2020-04-05,206
City of Toronto Health Unit,2020-04-06,69
City of Toronto Health Unit,2020-04-07,148
City of Toronto Health Unit,2020-04-08,121
City of Toronto Health Unit,2020-04-09,199
City of Toronto Health Unit,2020-04-10,122
City of Toronto Health Unit,2020-04-11,174
City of Toronto Health Unit,2020-04-12,160
City of Toronto Health Unit,2020-04-13,137
City of Toronto Health Unit,2020-04-14,181
City of Toronto Health Unit,2020-04-15,127
City of Toronto Health Unit,2020-04-16,211
City of Toronto Health Unit,2020-04-17,264
City of Toronto Health Unit,2020-04-18,201
City of Toronto Health Unit,2020-04-19,200
City of Toronto Health Unit,2020-04-20,136
City of Toronto Health Unit,2020-04-21,138
City of Toronto Health Unit,2020-04-22,249
City of Toronto Health Unit,2020-04-23,278
City of Toronto Health Unit,2020-04-24,139
City of Toronto Health Unit,2020-04-25,142
City of Toronto Health Unit,2020-04-26,170
City of Toronto Health Unit,2020-04-27,175
City of Toronto Health Unit,2020-04-28,155
City of Toronto Health Unit,2020-04-29,232
City of Toronto Health Unit,2020-04-30,191
City of Toronto Health Unit,2020-05-01,245
City of Toronto Health Unit,2020-05-02,171
City of Toronto Health Unit,2020-05-03,0
Middlesex-London Health Unit,2020-02-29,0
Middlesex-London Health Unit,2020-03-01,0
Middlesex-London Health Unit,2020-03-02,0
Middlesex-London Health Unit,2020-03-03,0
Middlesex-London Health Unit,2020-03-04,0
Middlesex-London Health Unit,2020-03-05,0
Middlesex-London Health Unit,2020-03-06,0
Middlesex-London Health Unit,2020-03-07,0
Middlesex-London Health Unit,2020-03-08,0
Middlesex-London Health Unit,2020-03-09,0
Middlesex-London Health Unit,2020-03-10,0
Middlesex-London Health Unit,2020-03-11,0
Middlesex-London Health Unit,2020-03-12,0
Middlesex-London Health Unit,2020-03-13,0
Middlesex-London Health Unit,2020-03-14,1
Middlesex-London Health Unit,2020-03-15,0
Middlesex-London Health Unit,2020-03-16,0
Middlesex-London Health Unit,2020-03-17,2
Middlesex-London Health Unit,2020-03-18,1
Middlesex-London Health Unit,2020-03-19,0
Middlesex-London Health Unit,2020-03-20,6
Middlesex-London Health Unit,2020-03-21,1
Middlesex-London Health Unit,2020-03-22,0
Middlesex-London Health Unit,2020-03-23,2
Middlesex-London Health Unit,2020-03-24,0
Middlesex-London Health Unit,2020-03-25,2
Middlesex-London Health Unit,2020-03-26,6
Middlesex-London Health Unit,2020-03-27,2
Middlesex-London Health Unit,2020-03-28,2
Middlesex-London Health Unit,2020-03-29,5
Middlesex-London Health Unit,2020-03-30,6
Middlesex-London Health Unit,2020-03-31,0
Middlesex-London Health Unit,2020-04-01,29
Middlesex-London Health Unit,2020-04-02,13
Middlesex-London Health Unit,2020-04-03,13
Middlesex-London Health Unit,2020-04-04,21
Middlesex-London Health Unit,2020-04-05,21
Middlesex-London Health Unit,2020-04-06,2
Middlesex-London Health Unit,2020-04-07,14
Middlesex-London Health Unit,2020-04-08,12
Middlesex-London Health Unit,2020-04-09,8
Middlesex-London Health Unit,2020-04-10,13
Middlesex-London Health Unit,2020-04-11,14
Middlesex-London Health Unit,2020-04-12,18
Middlesex-London Health Unit,2020-04-13,19
Middlesex-London Health Unit,2020-04-14,13
Middlesex-London Health Unit,2020-04-15,3
Middlesex-London Health Unit,2020-04-16,8
Middlesex-London Health Unit,2020-04-17,24
Middlesex-London Health Unit,2020-04-18,7
Middlesex-London Health Unit,2020-04-19,17
Middlesex-London Health Unit,2020-04-20,17
Middlesex-London Health Unit,2020-04-21,11
Middlesex-London Health Unit,2020-04-22,9
Middlesex-London Health Unit,2020-04-23,4
Middlesex-London Health Unit,2020-04-24,10
Middlesex-London Health Unit,2020-04-25,7
Middlesex-London Health Unit,2020-04-26,8
Middlesex-London Health Unit,2020-04-27,2
Middlesex-London Health Unit,2020-04-28,10
Middlesex-London Health Unit,2020-04-29,9
Middlesex-London Health Unit,2020-04-30,9
Middlesex-London Health Unit,2020-05-01,7
Middlesex-London Health Unit,2020-05-02,4
Middlesex-London Health Unit,2020-05-03,3
Huron County Health Unit,2020-02-29,0
Huron County Health Unit,2020-03-01,0
Huron County Health Unit,2020-03-02,0
Huron County Health Unit,2020-03-03,0
Huron County Health Unit,2020-03-04,0
Huron County Health Unit,2020-03-05,0
Huron County Health Unit,2020-03-06,0
Huron County Health Unit,2020-03-07,0
Huron County Health Unit,2020-03-08,0
Huron County Health Unit,2020-03-09,0
Huron County Health Unit,2020-03-10,0
Huron County Health Unit,2020-03-11,0
Huron County Health Unit,2020-03-12,0
Huron County Health Unit,2020-03-13,0
Huron County Health Unit,2020-03-14,1
Huron County Health Unit,2020-03-15,0
Huron County Health Unit,2020-03-16,0
Huron County Health Unit,2020-03-17,0
Huron County Health Unit,2020-03-18,1
Huron County Health Unit,2020-03-19,0
Huron County Health Unit,2020-03-20,0
Huron County Health Unit,2020-03-21,0
Huron County Health Unit,2020-03-22,0
Huron County Health Unit,2020-03-23,0
Huron County Health Unit,2020-03-24,0
Huron County Health Unit,2020-03-25,0
Huron County Health Unit,2020-03-26,0
Huron County Health Unit,2020-03-27,0
Huron County Health Unit,2020-03-28,3
Huron County Health Unit,2020-03-29,4
Huron County Health Unit,2020-03-30,0
Huron County Health Unit,2020-03-31,0
Huron County Health Unit,2020-04-01,5
Huron County Health Unit,2020-04-02,2
Huron County Health Unit,2020-04-03,1
Huron County Health Unit,2020-04-04,0
Huron County Health Unit,2020-04-05,0
Huron County Health Unit,2020-04-06,3
Huron County Health Unit,2020-04-07,3
Huron County Health Unit,2020-04-08,1
Huron County Health Unit,2020-04-09,4
Huron County Health Unit,2020-04-10,2
Huron County Health Unit,2020-04-11,1
Huron County Health Unit,2020-04-12,0
Huron County Health Unit,2020-04-13,1
Huron County Health Unit,2020-04-14,2
Huron County Health Unit,2020-04-15,0
Huron County Health Unit,2020-04-16,1
Huron County Health Unit,2020-04-17,0
Huron County Health Unit,2020-04-18,0
Huron County Health Unit,2020-04-19,0
Huron County Health Unit,2020-04-20,2
Huron County Health Unit,2020-04-21,1
Huron County Health Unit,2020-04-22,1
Huron County Health Unit,2020-04-23,0
Huron County Health Unit,2020-04-24,2
Huron County Health Unit,2020-04-25,1
Huron County Health Unit,2020-04-26,0
Huron County Health Unit,2020-04-27,1
Huron County Health Unit,2020-04-28,1
Huron County Health Unit,2020-04-29,1
Huron County Health Unit,2020-04-30,1
Huron County Health Unit,2020-05-01,1
Huron County Health Unit,2020-05-02,0
Huron County Health Unit,2020-05-03,2
Southwestern Public Health Unit,2020-02-29,0
Southwestern Public Health Unit,2020-03-01,0
Southwestern Public Health Unit,2020-03-02,0
Southwestern Public Health Unit,2020-03-03,0
Southwestern Public Health Unit,2020-03-04,0
Southwestern Public Health Unit,2020-03-05,0
Southwestern Public Health Unit,2020-03-06,0
Southwestern Public Health Unit,2020-03-07,0
Southwestern Public Health Unit,2020-03-08,0
Southwestern Public Health Unit,2020-03-09,0
Southwestern Public Health Unit,2020-03-10,0
Southwestern Public Health Unit,2020-03-11,0
Southwestern Public Health Unit,2020-03-12,0
Southwestern Public Health Unit,2020-03-13,0
Southwestern Public Health Unit,2020-03-14,0
Southwestern Public Health Unit,2020-03-15,0
Southwestern Public Health Unit,2020-03-16,0
Southwestern Public Health Unit,2020-03-17,0
Southwestern Public Health Unit,2020-03-18,0
Southwestern Public Health Unit,2020-03-19,0
Southwestern Public Health Unit,2020-03-20,0
Southwestern Public Health Unit,2020-03-21,0
Southwestern Public Health Unit,2020-03-22,1
Southwestern Public Health Unit,2020-03-23,0
Southwestern Public Health Unit,2020-03-24,0
Southwestern Public Health Unit,2020-03-25,0
Southwestern Public Health Unit,2020-03-26,3
Southwestern Public Health Unit,2020-03-27,1
Southwestern Public Health Unit,2020-03-28,3
Southwestern Public Health Unit,2020-03-29,0
Southwestern Public Health Unit,2020-03-30,2
Southwestern Public Health Unit,2020-03-31,0
Southwestern Public Health Unit,2020-04-01,5
Southwestern Public Health Unit,2020-04-02,3
Southwestern Public Health Unit,2020-04-03,2
Southwestern Public Health Unit,2020-04-04,1
Southwestern Public Health Unit,2020-04-05,0
Southwestern Public Health Unit,2020-04-06,1
Southwestern Public Health Unit,2020-04-07,2
Southwestern Public Health Unit,2020-04-08,3
Southwestern Public Health Unit,2020-04-09,0
Southwestern Public Health Unit,2020-04-10,2
Southwestern Public Health Unit,2020-04-11,3
Southwestern Public Health Unit,2020-04-12,3
Southwestern Public Health Unit,2020-04-13,0
Southwestern Public Health Unit,2020-04-14,1
Southwestern Public Health Unit,2020-04-15,4
Southwestern Public Health Unit,2020-04-16,1
Southwestern Public Health Unit,2020-04-17,0
Southwestern Public Health Unit,2020-04-18,1
Southwestern Public Health Unit,2020-04-19,2
Southwestern Public Health Unit,2020-04-20,0
Southwestern Public Health Unit,2020-04-21,3
Southwestern Public Health Unit,2020-04-22,4
Southwestern Public Health Unit,2020-04-23,2
Southwestern Public Health Unit,2020-04-24,1
Southwestern Public Health Unit,2020-04-25,0
Southwestern Public Health Unit,2020-04-26,3
Southwestern Public Health Unit,2020-04-27,0
Southwestern Public Health Unit,2020-04-28,2
Southwestern Public Health Unit,2020-04-29,0
Southwestern Public Health Unit,2020-04-30,0
Southwestern Public Health Unit,2020-05-01,0
Southwestern Public Health Unit,2020-05-02,0
Southwestern Public Health Unit,2020-05-03,0
Waterloo Health Unit,2020-02-29,0
Waterloo Health Unit,2020-03-01,0
Waterloo Health Unit,2020-03-02,0
Waterloo Health Unit,2020-03-03,0
Waterloo Health Unit,2020-03-04,0
Waterloo Health Unit,2020-03-05,1
Waterloo Health Unit,2020-03-06,0
Waterloo Health Unit,2020-03-07,0
Waterloo Health Unit,2020-03-08,0
Waterloo Health Unit,2020-03-09,0
Waterloo Health Unit,2020-03-10,0
Waterloo Health Unit,2020-03-11,0
Waterloo Health Unit,2020-03-12,2
Waterloo Health Unit,2020-03-13,1
Waterloo Health Unit,2020-03-14,2
Waterloo Health Unit,2020-03-15,2
Waterloo Health Unit,2020-03-16,0
Waterloo Health Unit,2020-03-17,0
Waterloo Health Unit,2020-03-18,2
Waterloo Health Unit,2020-03-19,1
Waterloo Health Unit,2020-03-20,4
Waterloo Health Unit,2020-03-21,0
Waterloo Health Unit,2020-03-22,1
Waterloo Health Unit,2020-03-23,16
Waterloo Health Unit,2020-03-24,10
Waterloo Health Unit,2020-03-25,0
Waterloo Health Unit,2020-03-26,17
Waterloo Health Unit,2020-03-27,10
Waterloo Health Unit,2020-03-28,0
Waterloo Health Unit,2020-03-29,0
Waterloo Health Unit,2020-03-30,34
Waterloo Health Unit,2020-03-31,0
Waterloo Health Unit,2020-04-01,14
Waterloo Health Unit,2020-04-02,12
Waterloo Health Unit,2020-04-03,19
Waterloo Health Unit,2020-04-04,10
Waterloo Health Unit,2020-04-05,14
Waterloo Health Unit,2020-04-06,13
Waterloo Health Unit,2020-04-07,22
Waterloo Health Unit,2020-04-08,13
Waterloo Health Unit,2020-04-09,17
Waterloo Health Unit,2020-04-10,5
Waterloo Health Unit,2020-04-11,19
Waterloo Health Unit,2020-04-12,13
Waterloo Health Unit,2020-04-13,53
Waterloo Health Unit,2020-04-14,26
Waterloo Health Unit,2020-04-15,26
Waterloo Health Unit,2020-04-16,4
Waterloo Health Unit,2020-04-17,16
Waterloo Health Unit,2020-04-18,75
Waterloo Health Unit,2020-04-19,13
Waterloo Health Unit,2020-04-20,16
Waterloo Health Unit,2020-04-21,25
Waterloo Health Unit,2020-04-22,22
Waterloo Health Unit,2020-04-23,32
Waterloo Health Unit,2020-04-24,22
Waterloo Health Unit,2020-04-25,30
Waterloo Health Unit,2020-04-26,43
Waterloo Health Unit,2020-04-27,6
Waterloo Health Unit,2020-04-28,26
Waterloo Health Unit,2020-04-29,22
Waterloo Health Unit,2020-04-30,20
Waterloo Health Unit,2020-05-01,22
Waterloo Health Unit,2020-05-02,9
Waterloo Health Unit,2020-05-03,19
Halton Regional Health Unit,2020-02-29,0
Halton Regional Health Unit,2020-03-01,0
Halton Regional Health Unit,2020-03-02,0
Halton Regional Health Unit,2020-03-03,0
Halton Regional Health Unit,2020-03-04,0
Halton Regional Health Unit,2020-03-05,0
Halton Regional Health Unit,2020-03-06,0
Halton Regional Health Unit,2020-03-07,0
Halton Regional Health Unit,2020-03-08,0
Halton Regional Health Unit,2020-03-09,0
Halton Regional Health Unit,2020-03-10,0
Halton Regional Health Unit,2020-03-11,1
Halton Regional Health Unit,2020-03-12,1
Halton Regional Health Unit,2020-03-13,0
Halton Regional Health Unit,2020-03-14,1
Halton Regional Health Unit,2020-03-15,0
Halton Regional Health Unit,2020-03-16,1
Halton Regional Health Unit,2020-03-17,0
Halton Regional Health Unit,2020-03-18,4
Halton Regional Health Unit,2020-03-19,3
Halton Regional Health Unit,2020-03-20,0
Halton Regional Health Unit,2020-03-21,0
Halton Regional Health Unit,2020-03-22,0
Halton Regional Health Unit,2020-03-23,2
Halton Regional Health Unit,2020-03-24,1
Halton Regional Health Unit,2020-03-25,4
Halton Regional Health Unit,2020-03-26,1
Halton Regional Health Unit,2020-03-27,0
Halton Regional Health Unit,2020-03-28,2
Halton Regional Health Unit,2020-03-29,4
Halton Regional Health Unit,2020-03-30,11
Halton Regional Health Unit,2020-03-31,0
Halton Regional Health Unit,2020-04-01,38
Halton Regional Health Unit,2020-04-02,7
Halton Regional Health Unit,2020-04-03,19
Halton Regional Health Unit,2020-04-04,31
Halton Regional Health Unit,2020-04-05,11
Halton Regional Health Unit,2020-04-06,13
Halton Regional Health Unit,2020-04-07,14
Halton Regional Health Unit,2020-04-08,59
Halton Regional Health Unit,2020-04-09,21
Halton Regional Health Unit,2020-04-10,12
Halton Regional Health Unit,2020-04-11,8
Halton Regional Health Unit,2020-04-12,11
Halton Regional Health Unit,2020-04-13,36
Halton Regional Health Unit,2020-04-14,19
Halton Regional Health Unit,2020-04-15,9
Halton Regional Health Unit,2020-04-16,6
Halton Regional Health Unit,2020-04-17,9
Halton Regional Health Unit,2020-04-18,9
Halton Regional Health Unit,2020-04-19,12
Halton Regional Health Unit,2020-04-20,3
Halton Regional Health Unit,2020-04-21,3
Halton Regional Health Unit,2020-04-22,8
Halton Regional Health Unit,2020-04-23,16
Halton Regional Health Unit,2020-04-24,5
Halton Regional Health Unit,2020-04-25,3
Halton Regional Health Unit,2020-04-26,4
Halton Regional Health Unit,2020-04-27,7
Halton Regional Health Unit,2020-04-28,14
Halton Regional Health Unit,2020-04-29,5
Halton Regional Health Unit,2020-04-30,8
Halton Regional Health Unit,2020-05-01,5
Halton Regional Health Unit,2020-05-02,9
Halton Regional Health Unit,2020-05-03,6
